date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:45	36656/36656	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202015%2003:35:10%20GMT	https://demoxml.com/html/marize/?storefront=envato-elements	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/index04b9.html	(from )
15:03:45	108/108	---M-Z	200	added ('OK')	text/plain	etag:%221490-1740969011;gz%22	https://demoxml.com/robots.txt		(from )
15:03:45	59695/59695	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Oct%202015%2013:45:18%20GMT	https://demoxml.com/html/marize/rs-plugin/css/settings.css	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/rs-plugin/css/settings.css	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:46	122540/122540	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202015%2020:12:50%20GMT	https://demoxml.com/html/marize/css/bootstrap.min.css	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/css/bootstrap.min.css	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:46	26545/26545	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Oct%202015%2016:21:08%20GMT	https://demoxml.com/html/marize/css/font-awesome.min.css	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/css/font-awesome.min.css	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:46	62867/62867	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202015%2001:16:12%20GMT	https://demoxml.com/html/marize/css/ionicons.min.css	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/css/ionicons.min.css	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:46	89743/89743	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Nov%202015%2003:29:58%20GMT	https://demoxml.com/html/marize/css/main.css	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/css/main.css	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:47	41922/41922	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2000:58:30%20GMT	https://demoxml.com/html/marize/css/style.css	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/css/style.css	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:47	10293/10293	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2000:56:26%20GMT	https://demoxml.com/html/marize/css/responsive.css	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/css/responsive.css	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:47	1904/1904	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Nov%202015%2009:14:54%20GMT	https://demoxml.com/html/marize/images/logo.png	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/images/logo.png	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:47	36656/36656	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202015%2003:35:10%20GMT	https://demoxml.com/html/marize/index.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/index.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:48	20527/20527	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2000:58:56%20GMT	https://demoxml.com/html/marize/about.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/about.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:48	23443/23443	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202015%2003:36:46%20GMT	https://demoxml.com/html/marize/services.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/services.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:48	18435/18435	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202015%2003:36:36%20GMT	https://demoxml.com/html/marize/portfolio.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/portfolio.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:49	41903/41903	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Mar%202025%2020:03:50%20GMT	https://demoxml.com/html/marize/index-1.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/index-1.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:49	14002/14002	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202015%2003:36:24%20GMT	https://demoxml.com/html/marize/portfolio-single.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/portfolio-single.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:50	17143/17143	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202015%2003:37:30%20GMT	https://demoxml.com/html/marize/blog.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/blog.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:50	20652/20652	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202015%2003:35:42%20GMT	https://demoxml.com/html/marize/blog-detail.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/blog-detail.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:50	24278/24278	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202015%2003:36:52%20GMT	https://demoxml.com/html/marize/faq.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/faq.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:51	13778/13778	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20May%202017%2007:15:40%20GMT	https://demoxml.com/html/marize/contact.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/contact.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:51	9073/9073	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202015%2003:35:26%20GMT	https://demoxml.com/html/marize/404-page.html	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/404-page.html	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:52	163323/163323	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Nov%202015%2009:16:00%20GMT	https://demoxml.com/html/marize/images/slides/slide-1.jpg	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/images/slides/slide-1.jpg	(from https://demoxml.com/html/marize/?storefront=envato-elements)
15:03:52	22562/22562	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Nov%202015%2009:14:54%20GMT	https://demoxml.com/html/marize/images/intro-img-1.jpg	C:/My%20Web%20Sites/PTLL/demoxml.com/html/marize/images/intro-img-1.jpg	(from https://demoxml.com/html/marize/?storefront=envato-elements)
